"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","Verify that we can select a cost index from api/cost-index/{indexName} with HTTP GET. Verify that we can download the raw inflation data from CUUR0000SAM_1743206715597.json","","Fri Mar 06 13:37:25 GMT 2026","passed","Fri Mar 06 13:37:25 GMT 2026","","AEP Gateway - Cost Index Controller Integration Test","com.aetion.konohanasakuya.integration.component.client.aepgateway.CostIndexControllerIntegrationTest","testGetCostIndex"
"","2","Verify all properties are present in the aetion config map that are necessary to instantiate the sso-domain properties. Verify that the aep entry in the config map contains the ""instanceId"" property","","Fri Mar 06 13:32:21 GMT 2026","passed","Fri Mar 06 13:32:21 GMT 2026","","Verify that the config map contains all necessary values for a KubernetesAepConfigurationSource to be instantiated.","com.aetion.konohanasakuya.integration.sanity.K8sAepConfigurationSourceSourceConfigMapTest","testCognitoSsoDomainPropertiesPresent"
"","181","Verify that we can query HCPC codes through webapp's code-search servlet while using a wildcard expression. 5 - Search HCPC codes using query with wildcard, ""0054?"", with event attribute: Outpatient - Primary HCPCS Procedure Code","","Fri Mar 06 13:37:06 GMT 2026","passed","Fri Mar 06 13:37:06 GMT 2026","","Test searching coding systems while using regular expressions through the advanced code search dialogue.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.RegularExpressionSearchIntegrationTest","testSearchHCPCCodes"
"","82","Verify getFolderTree is accessible from the api/v2/folder/{folderType}/{folderId} endpoint with HTTP GET With the v2 endpoint, verify that we can getFolderTree() for a ANALYSIS folder in the library.","","Fri Mar 06 13:37:25 GMT 2026","passed","Fri Mar 06 13:37:25 GMT 2026","","Projects Service - Folders Controller Read-Only Test","com.aetion.konohanasakuya.integration.component.client.projects.ReadOnlyFoldersControllerIntegrationTest","testGetFolderTreeInLibrary"
"","100","Verify that deleteFolder is accessible from the api/v2/folder/{folderType}/{id} endpoint with HTTP DELETE. With the v2 endpoint, verify that we can delete a REPORT folder.","","Fri Mar 06 13:37:12 GMT 2026","passed","Fri Mar 06 13:37:12 GMT 2026","","Verify we can delete folders in the project and in the library","com.aetion.konohanasakuya.integration.component.client.projects.DeleteFolderIntegrationTest","testDeleteFolder"
"","197","Verify that we can select a cost index from api/cost-index/{indexName} with HTTP GET. Verify that we can download the raw inflation data from CUUR0000SEMF01_1719619533417.json","","Fri Mar 06 13:37:29 GMT 2026","passed","Fri Mar 06 13:37:29 GMT 2026","","AEP Gateway - Cost Index Controller Integration Test","com.aetion.konohanasakuya.integration.component.client.aepgateway.CostIndexControllerIntegrationTest","testGetCostIndex"
"","50","Verify that getDescendants is accessible from the api/v2/folder/descendants/{folderType}/{id} endpoint with HTTP GET for library folders. With the v2 endpoint, verify that we can getDescendants for a BOARD library folder.","","Fri Mar 06 13:37:20 GMT 2026","passed","Fri Mar 06 13:37:20 GMT 2026","","Projects Service - Folders Controller Read-Only Test","com.aetion.konohanasakuya.integration.component.client.projects.ReadOnlyFoldersControllerIntegrationTest","testGetDescendantsInLibrary"
"","181","Verify that we can query ICD-9/10 diagnosis codes through webapp's code-search servlet. 3 - Search ICD-9/10 codes for event attribute: Primary ICD-9 Diagnosis Code","","Fri Mar 06 13:37:03 GMT 2026","passed","Fri Mar 06 13:37:03 GMT 2026","","Verify that a user can query multiple codes separated with a delimiter through the code search modal.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.SearchCodesWithDelimiterIntegrationTest","testSearchICD9DiagnosisCodes"
"","5","testAllServicesUrlsArePresentInTheConfigMap(String, Integer) Sanity check the config maps entry for a valid url for {0}","","Fri Mar 06 13:32:15 GMT 2026","passed","Fri Mar 06 13:32:15 GMT 2026","","Verify that the config map contains all necessary values for a KubernetesAepConfigurationSource to be instantiated.","com.aetion.konohanasakuya.integration.sanity.K8sAepConfigurationSourceSourceConfigMapTest","testAllServicesUrlsArePresentInTheConfigMap"
"","186","Verify that the max number of results is honored by webapp's code search servlet when it is set to 1. 115 - When searching codes with query, ""*"", and maxNumResults of 1, exactly one result should be returned while searching event attribute: HCPCS Procedure Code Position 22","","Fri Mar 06 13:37:39 GMT 2026","passed","Fri Mar 06 13:37:39 GMT 2026","","Verify that the maximum number of results is honored when sending a request to search codes.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.MaximumNumberOfResultsIntegrationTest","testMaximumNumberOfResultsHonoredWhenLow"
